================================================================================
NYC FRIENDS GRAFFITI - CLEAN WORD FREQUENCY ANALYSIS
================================================================================

Statistics:
  Total graffiti: 114
  Unique words (filtered): 276
  Total word occurrences: 1850

================================================================================
ALL WORDS SORTED BY FREQUENCY (Highest to Lowest)
================================================================================

   1. friend                         |   156 times
   2. ai                             |   140 times
   3. is                             |    96 times
   4. your                           |    72 times
   5. you                            |    68 times
   6. a                              |    67 times
   7. not                            |    66 times
   8. the                            |    53 times
   9. real                           |    36 times
  10. human                          |    28 times
  11. friends                        |    24 times
  12. fuck                           |    24 times
  13. care                           |    24 times
  14. died                           |    22 times
  15. and                            |    20 times
  16. lived                          |    20 times
  17. person                         |    20 times
  18. connection                     |    18 times
  19. this                           |    16 times
  20. someonea                       |    16 times
  21. surveillance                   |    14 times
  22. slop                           |    14 times
  23. with                           |    14 times
  24. make                           |    14 times
  25. friendai                       |    14 times
  26. i                              |    14 times
  27. will                           |    12 times
  28. don't                          |    12 times
  29. no                             |    12 times
  30. sacred                         |    12 times
  31. people                         |    12 times
  32. wouldn't                       |    12 times
  33. being                          |    10 times
  34. data                           |    10 times
  35. planet                         |    10 times
  36. down                           |    10 times
  37. use                            |     8 times
  38. phoney                         |     8 times
  39. luddite                        |     8 times
  40. alive                          |     8 times
  41. more                           |     8 times
  42. we                             |     8 times
  43. reach                          |     7 times
  44. out                            |     7 times
  45. into                           |     7 times
  46. get                            |     6 times
  47. world                          |     6 times
  48. something                      |     6 times
  49. device                         |     6 times
  50. all                            |     6 times
  51. wouldnt                        |     6 times
  52. stay                           |     6 times
  53. would                          |     6 times
  54. burning                        |     6 times
  55. around                         |     6 times
  56. worst                          |     6 times
  57. i'll                           |     6 times
  58. need                           |     6 times
  59. talk                           |     6 times
  60. befriend                       |     5 times
  61. blood                          |     4 times
  62. trash                          |     4 times
  63. can't                          |     4 times
  64. trump                          |     4 times
  65. jesus                          |     4 times
  66. living                         |     4 times
  67. dont                           |     4 times
  68. lonliness                      |     4 times
  69. lonely                         |     4 times
  70. community                      |     4 times
  71. cock                           |     4 times
  72. say                            |     4 times
  73. personal                       |     4 times
  74. someoneai                      |     4 times
  75. chatbot                        |     4 times
  76. look                           |     4 times
  77. kill                           |     4 times
  78. info                           |     4 times
  79. won't                          |     4 times
  80. climate                        |     4 times
  81. cost                           |     4 times
  82. doesn't                        |     4 times
  83. sucks                          |     4 times
  84. enemy                          |     4 times
  85. black                          |     4 times
  86. 'friend'                       |     4 times
  87. binge                          |     4 times
  88. entire                         |     4 times
  89. series                         |     4 times
  90. xai                            |     4 times
  91. center                         |     4 times
  92. water                          |     4 times
  93. humans                         |     4 times
  94. mutual                         |     4 times
  95. aid                            |     4 times
  96. solve                          |     4 times
  97. from                           |     4 times
  98. butt                           |     4 times
  99. that                           |     4 times
 100. who                            |     4 times
 101. steal                          |     4 times
 102. evil                           |     4 times
 103. death                          |     4 times
 104. capitalism                     |     2 times
